IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,41,1990,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,49
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,42,1991,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,50
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,43,1992,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,51.1
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,44,1993,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,52.2
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,45,1994,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,53.3
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,46,1995,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,54.3
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,47,1996,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,55.4
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,48,1997,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,56.4
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,49,1998,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,57.5
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,50,1999,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,58.6
1,Contraceptive prevalence: Any method (Percent),Any,Estimates and Projections of Family Planning Indicators,2024,United Nations Population Division,76,Brazil,BR,BRA,51,2000,4,Median,2,Female,31,15,49,15-49,99,All women,1,Model-based Estimates,2,Interpolation,59.7
